#=====================================================
# File created:        Mon-06-Nov-2023-at-07-14-53PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.000000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2554.8024  0.2614 
   00001    0.2180   -3419.5606  0.2520 
   00002    0.2176   -4117.9917  0.2554 
   00003    0.2180   -4551.9725  0.2716 
   00004    0.2104   -5088.2572  0.2703 
   00005    0.2272   -5453.0850  0.2800 
   00006    0.2172   -5745.6627  0.2781 
   00007    0.2164   -6036.8790  0.2801 
   00008    0.2276   -6218.4515  0.2886 
   00009    0.2096   -6397.5926  0.2877 
   00010    0.2168   -6582.8151  0.2901 
   00011    0.2336   -6661.0309  0.2986 
   00012    0.2200   -6739.8090  0.3017 
   00013    0.2088   -6820.3604  0.3167 
   00014    0.2208   -6932.9048  0.3207 
   00015    0.2144   -6989.2664  0.3106 
   00016    0.2140   -7066.6789  0.3119 
   00017    0.2084   -7156.5802  0.3108 
   00018    0.2188   -7155.9185  0.3072 
   00019    0.2252   -7163.4713  0.3105 
   00020    0.2072   -7250.0343  0.3159 
   00021    0.2208   -7322.9988  0.3133 
   00022    0.2084   -7344.4351  0.3175 
   00023    0.2092   -7369.5617  0.3241 
   00024    0.2008   -7479.9393  0.3356 
   00025    0.2112   -7541.2323  0.3302 
   00026    0.2044   -7586.2138  0.3334 
   00027    0.2084   -7621.7180  0.3364 
   00028    0.2076   -7667.9490  0.3382 
   00029    0.2068   -7684.0431  0.3494 
   00030    0.2160   -7683.8050  0.3513 
   00031    0.2012   -7692.0852  0.3686 
   00032    0.2072   -7677.3386  0.3618 
   00033    0.2088   -7692.5606  0.3689 
   00034    0.2072   -7709.3702  0.3705 
   00035    0.1888   -7828.2811  0.3711 
   00036    0.2012   -7831.2103  0.3685 
   00037    0.2000   -7912.2238  0.3710 
   00038    0.2096   -7919.4701  0.3740 
   00039    0.2084   -7953.3480  0.3789 
   00040    0.2112   -7911.7050  0.3854 
   00041    0.2092   -7924.8553  0.3929 
   00042    0.2124   -7947.8652  0.3928 
   00043    0.2068   -7889.1021  0.3923 
   00044    0.2048   -7924.8302  0.3896 
   00045    0.2124   -7927.2373  0.3869 
   00046    0.2068   -7911.5914  0.3921 
   00047    0.2044   -7927.2727  0.3980 
   00048    0.2156   -7916.8881  0.3956 
   00049    0.2132   -7929.8026  0.3988 
   00050    0.2108   -7924.7962  0.4068 
