#=====================================================
# File created:        Thu-19-Oct-2023-at-01-01-27PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.575879
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2501.7020  0.2622 
   00001    0.6408   -3150.9600  0.2621 
   00002    0.6124   -3729.7049  0.2574 
   00003    0.5468   -4230.9566  0.2610 
   00004    0.4964   -4556.0297  0.2716 
   00005    0.5004   -4729.8722  0.2798 
   00006    0.4824   -4961.8688  0.2831 
   00007    0.4704   -5091.6881  0.2806 
   00008    0.4908   -5287.3116  0.2902 
   00009    0.4644   -5408.7403  0.2854 
   00010    0.4644   -5467.1486  0.2957 
   00011    0.4244   -5476.2781  0.2962 
   00012    0.4068   -5554.4039  0.3047 
   00013    0.4148   -5610.9779  0.3054 
   00014    0.4360   -5659.7179  0.3133 
   00015    0.4252   -5784.0730  0.3097 
   00016    0.4104   -5892.7723  0.3122 
   00017    0.3936   -5982.7707  0.3219 
   00018    0.3980   -5962.4864  0.3237 
   00019    0.4008   -5999.4124  0.3257 
   00020    0.4112   -6040.3930  0.3242 
   00021    0.3972   -6138.0578  0.3266 
   00022    0.3644   -6137.5273  0.3243 
   00023    0.3688   -6092.8814  0.3220 
   00024    0.3648   -6096.6261  0.3229 
   00025    0.4008   -6133.3967  0.3250 
   00026    0.3920   -6152.0661  0.3240 
   00027    0.3824   -6185.0890  0.3222 
   00028    0.3820   -6209.6353  0.3261 
   00029    0.3632   -6267.2067  0.3147 
   00030    0.3756   -6307.8520  0.3214 
   00031    0.3476   -6345.1055  0.3183 
   00032    0.3684   -6357.7675  0.3068 
   00033    0.3812   -6408.6331  0.3026 
   00034    0.3656   -6355.7402  0.3131 
   00035    0.3452   -6397.0134  0.3154 
   00036    0.3624   -6432.9205  0.3130 
   00037    0.3464   -6502.3651  0.3087 
   00038    0.3228   -6549.2565  0.3051 
   00039    0.3576   -6569.5030  0.3013 
   00040    0.3596   -6591.5797  0.3016 
   00041    0.3464   -6619.8194  0.3002 
   00042    0.3396   -6615.5694  0.2958 
   00043    0.3604   -6604.2810  0.2992 
   00044    0.3684   -6593.7818  0.2927 
   00045    0.3508   -6544.1999  0.2980 
   00046    0.3460   -6527.8006  0.2931 
   00047    0.3536   -6581.1031  0.2898 
   00048    0.2960   -6560.6221  0.2899 
   00049    0.3692   -6603.4621  0.2878 
   00050    0.3304   -6568.8799  0.2919 
