#=====================================================
# File created:        Thu-19-Oct-2023-at-10-59-10AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.462164
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2544.4458  0.2626 
   00001    0.6936   -3750.2451  0.2602 
   00002    0.6216   -4516.6643  0.2676 
   00003    0.5960   -5106.1906  0.2596 
   00004    0.5612   -5517.7935  0.2641 
   00005    0.5300   -5876.0004  0.2682 
   00006    0.5116   -6204.9367  0.2821 
   00007    0.4868   -6403.3060  0.2827 
   00008    0.4880   -6598.3070  0.2788 
   00009    0.5052   -6726.9720  0.2827 
   00010    0.4820   -6842.3116  0.2897 
   00011    0.4676   -6948.5808  0.2922 
   00012    0.4464   -7057.7659  0.2979 
   00013    0.4584   -7141.1139  0.2968 
   00014    0.4508   -7230.9255  0.3058 
   00015    0.4600   -7286.9361  0.3079 
   00016    0.4664   -7348.7707  0.3094 
   00017    0.4492   -7373.5956  0.3121 
   00018    0.4500   -7412.1423  0.3173 
   00019    0.4608   -7493.5269  0.3213 
   00020    0.4416   -7562.1723  0.3226 
   00021    0.4372   -7571.2643  0.3160 
   00022    0.4412   -7601.3885  0.3068 
   00023    0.4384   -7650.0084  0.3086 
   00024    0.4360   -7672.3189  0.3188 
   00025    0.4556   -7720.8472  0.3250 
   00026    0.4460   -7732.7758  0.3233 
   00027    0.4348   -7727.9060  0.3270 
   00028    0.4516   -7826.0714  0.3336 
   00029    0.4504   -7823.5729  0.3460 
   00030    0.4416   -7828.1907  0.3379 
   00031    0.4368   -7836.3346  0.3441 
   00032    0.4380   -7886.0200  0.3489 
   00033    0.4340   -7957.6722  0.3528 
   00034    0.4380   -7952.2319  0.3569 
   00035    0.4336   -7983.3649  0.3603 
   00036    0.4476   -7958.8593  0.3605 
   00037    0.4268   -7933.8546  0.3618 
   00038    0.4408   -7937.3196  0.3549 
   00039    0.4380   -7932.2576  0.3574 
   00040    0.4392   -7937.1671  0.3524 
   00041    0.4360   -7973.5319  0.3511 
   00042    0.4184   -7965.6737  0.3546 
   00043    0.4256   -7945.0435  0.3566 
   00044    0.4212   -7941.5574  0.3538 
   00045    0.4268   -7967.4154  0.3524 
   00046    0.4332   -7972.1455  0.3539 
   00047    0.4320   -7950.0203  0.3515 
   00048    0.4248   -7951.9471  0.3522 
   00049    0.4404   -8009.2497  0.3593 
   00050    0.4172   -8039.0566  0.3579 
