#=====================================================
# File created:        Tue-07-Nov-2023-at-10-55-10PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.945652
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2376.6488  0.2689 
   00001    0.2188   -3453.3714  0.2868 
   00002    0.2296   -4132.3765  0.2849 
   00003    0.2212   -4585.8978  0.2803 
   00004    0.2144   -5050.7502  0.2853 
   00005    0.2200   -5399.9557  0.2941 
   00006    0.2324   -5745.3974  0.2986 
   00007    0.2120   -5985.7306  0.3092 
   00008    0.2260   -6078.6930  0.3140 
   00009    0.2136   -6325.9261  0.3212 
   00010    0.2204   -6504.6406  0.3309 
   00011    0.2176   -6635.7966  0.3348 
   00012    0.2288   -6740.2377  0.3368 
   00013    0.2040   -6903.1654  0.3442 
   00014    0.2096   -7020.0243  0.3425 
   00015    0.2072   -7103.6304  0.3481 
   00016    0.2204   -7137.0870  0.3542 
   00017    0.2124   -7187.2000  0.3520 
   00018    0.2068   -7311.3243  0.3527 
   00019    0.1984   -7437.3531  0.3544 
   00020    0.2204   -7442.4846  0.3459 
   00021    0.2040   -7496.1167  0.3510 
   00022    0.2116   -7560.1620  0.3500 
   00023    0.1992   -7616.6413  0.3485 
   00024    0.2092   -7639.2428  0.3486 
   00025    0.2204   -7629.2429  0.3433 
   00026    0.2108   -7679.1587  0.3482 
   00027    0.2120   -7753.8198  0.3529 
   00028    0.1984   -7771.6703  0.3517 
   00029    0.2172   -7811.0965  0.3628 
   00030    0.2088   -7791.1498  0.3601 
   00031    0.2120   -7778.1382  0.3552 
   00032    0.2096   -7760.3451  0.3519 
   00033    0.1984   -7771.0706  0.3490 
   00034    0.2068   -7831.9061  0.3523 
   00035    0.2028   -7855.2348  0.3475 
   00036    0.2124   -7871.2096  0.3456 
   00037    0.2180   -7821.0808  0.3437 
   00038    0.1988   -7872.1022  0.3412 
   00039    0.2012   -7876.6360  0.3428 
   00040    0.2112   -7870.6000  0.3478 
   00041    0.2028   -7887.3543  0.3398 
   00042    0.2140   -7898.1426  0.3362 
   00043    0.1972   -7905.9706  0.3298 
   00044    0.2100   -7903.6565  0.3422 
   00045    0.2060   -7908.3859  0.3372 
   00046    0.2056   -7946.2810  0.3308 
   00047    0.2052   -7995.0342  0.3279 
   00048    0.2048   -8004.6472  0.3287 
   00049    0.2116   -7983.8506  0.3233 
   00050    0.2044   -8009.8558  0.3298 
