#=====================================================
# File created:        Tue-07-Nov-2023-at-11-46-30AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.605717
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2488.3393  0.2583 
   00001    0.2144   -3439.5030  0.2598 
   00002    0.2336   -4099.3881  0.2606 
   00003    0.2068   -4670.9806  0.2544 
   00004    0.2200   -5013.1003  0.2520 
   00005    0.2284   -5332.2241  0.2567 
   00006    0.2228   -5604.0106  0.2651 
   00007    0.2228   -5883.5412  0.2625 
   00008    0.2232   -6090.6016  0.2664 
   00009    0.2060   -6290.3644  0.2564 
   00010    0.2264   -6383.0586  0.2589 
   00011    0.2176   -6550.4046  0.2634 
   00012    0.1968   -6706.2415  0.2553 
   00013    0.2124   -6875.8454  0.2530 
   00014    0.2132   -7020.7184  0.2540 
   00015    0.2104   -7125.6353  0.2614 
   00016    0.2196   -7168.3209  0.2657 
   00017    0.2068   -7278.8879  0.2615 
   00018    0.2040   -7333.0279  0.2523 
   00019    0.2240   -7353.4316  0.2583 
   00020    0.2228   -7369.7320  0.2519 
   00021    0.2260   -7352.2282  0.2593 
   00022    0.2080   -7435.4692  0.2652 
   00023    0.2088   -7520.1979  0.2641 
   00024    0.2060   -7556.7558  0.2670 
   00025    0.2192   -7539.5658  0.2707 
   00026    0.2052   -7573.1046  0.2734 
   00027    0.2080   -7575.2420  0.2754 
   00028    0.2068   -7580.8646  0.2725 
   00029    0.2232   -7571.3487  0.2704 
   00030    0.1952   -7610.3887  0.2712 
   00031    0.2132   -7619.0007  0.2730 
   00032    0.1996   -7654.3999  0.2739 
   00033    0.2120   -7712.8414  0.2735 
   00034    0.2152   -7751.5834  0.2758 
   00035    0.2044   -7801.0263  0.2740 
   00036    0.2056   -7794.5360  0.2823 
   00037    0.2016   -7762.6588  0.2808 
   00038    0.1976   -7805.0887  0.2783 
   00039    0.1888   -7874.6054  0.2739 
   00040    0.2228   -7807.1598  0.2692 
   00041    0.1984   -7837.5420  0.2723 
   00042    0.2128   -7845.3622  0.2786 
   00043    0.2048   -7871.9423  0.2791 
   00044    0.2100   -7884.2434  0.2833 
   00045    0.2108   -7914.8769  0.2809 
   00046    0.1908   -7966.1103  0.2847 
   00047    0.2036   -7994.1986  0.2933 
   00048    0.1968   -8043.8414  0.2982 
   00049    0.2032   -8037.0265  0.3001 
   00050    0.2180   -8026.6096  0.3013 
