#=====================================================
# File created:        Wed-01-Nov-2023-at-12-30-24PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        128.000000
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2563.4006  0.2576 
   00001    0.6896   -3438.7514  0.2520 
   00002    0.6280   -4121.4086  0.2570 
   00003    0.5956   -4673.1497  0.2628 
   00004    0.5704   -5090.2432  0.2648 
   00005    0.5556   -5498.5480  0.2796 
   00006    0.5444   -5771.9107  0.2670 
   00007    0.5252   -5993.3224  0.2692 
   00008    0.5072   -6140.6309  0.2799 
   00009    0.5260   -6322.8056  0.2868 
   00010    0.5036   -6502.9278  0.2854 
   00011    0.5100   -6647.8175  0.2929 
   00012    0.4916   -6754.3672  0.2945 
   00013    0.4776   -6817.4202  0.2900 
   00014    0.4728   -6903.5324  0.3017 
   00015    0.4528   -6986.2376  0.3082 
   00016    0.4624   -7030.4951  0.3152 
   00017    0.4672   -7085.8545  0.3246 
   00018    0.4668   -7084.7239  0.3226 
   00019    0.4964   -7091.7165  0.3171 
   00020    0.4724   -7165.2593  0.3187 
   00021    0.4484   -7233.3391  0.3190 
   00022    0.4584   -7296.7019  0.3105 
   00023    0.4596   -7303.8737  0.3180 
   00024    0.4720   -7375.1478  0.3081 
   00025    0.4524   -7439.9219  0.3130 
   00026    0.4624   -7478.9121  0.3102 
   00027    0.4600   -7479.2949  0.3126 
   00028    0.4368   -7503.6574  0.3164 
   00029    0.4500   -7566.3812  0.3188 
   00030    0.4396   -7639.1574  0.3183 
   00031    0.4464   -7648.2930  0.3275 
   00032    0.4488   -7617.9328  0.3282 
   00033    0.4384   -7646.7033  0.3382 
   00034    0.4568   -7680.7772  0.3313 
   00035    0.4492   -7673.9222  0.3355 
   00036    0.4428   -7710.0020  0.3330 
   00037    0.4328   -7713.3705  0.3249 
   00038    0.4428   -7701.2349  0.3286 
   00039    0.4456   -7738.1395  0.3214 
   00040    0.4524   -7818.9710  0.3136 
   00041    0.4268   -7895.6844  0.3245 
   00042    0.4464   -7899.7922  0.3231 
   00043    0.4312   -7930.8918  0.3275 
   00044    0.4264   -7933.4318  0.3183 
   00045    0.4280   -7957.6867  0.3157 
   00046    0.4544   -7962.5613  0.3186 
   00047    0.4236   -7944.3848  0.3245 
   00048    0.4400   -7957.3398  0.3178 
   00049    0.4408   -7990.0519  0.3201 
   00050    0.4340   -7960.3588  0.3198 
