#=====================================================
# File created:        Wed-08-Nov-2023-at-10-10-20AM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.706950
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9973.5929  0.2561 
   00001    0.0000  -13938.4468  0.2561 
   00002    0.0000  -16475.2470  0.2521 
   00003    0.0000  -18707.2909  0.2547 
   00004    0.0000  -20342.0779  0.2634 
   00005    0.0000  -21719.7069  0.2636 
   00006    0.0000  -22836.2649  0.2654 
   00007    0.0000  -23768.4381  0.2593 
   00008    0.0000  -24547.0384  0.2608 
   00009    0.0000  -25263.6861  0.2659 
   00010    0.0000  -25946.4886  0.2643 
   00011    0.0000  -26531.0832  0.2659 
   00012    0.0000  -26947.8496  0.2641 
   00013    0.0000  -27371.0917  0.2659 
   00014    0.0000  -27799.9723  0.2625 
   00015    0.0000  -28107.8406  0.2666 
   00016    0.0000  -28415.7361  0.2708 
   00017    0.0000  -28580.7598  0.2721 
   00018    0.0000  -28841.1153  0.2717 
   00019    0.0000  -29020.2878  0.2706 
   00020    0.0000  -29294.4054  0.2716 
   00021    0.0000  -29261.8346  0.2743 
   00022    0.0000  -29410.9367  0.2724 
   00023    0.0000  -29719.9269  0.2723 
   00024    0.0000  -29786.5823  0.2764 
   00025    0.0000  -29924.0256  0.2768 
   00026    0.0000  -30046.3464  0.2795 
   00027    0.0000  -30241.3504  0.2824 
   00028    0.0000  -30317.9963  0.2823 
   00029    0.0000  -30359.6662  0.2854 
   00030    0.0000  -30367.0708  0.2884 
   00031    0.0000  -30384.2819  0.2867 
   00032    0.0000  -30475.1621  0.2883 
   00033    0.0000  -30567.3042  0.2913 
   00034    0.0000  -30656.3457  0.2930 
   00035    0.0000  -30872.5196  0.2935 
   00036    0.0000  -30887.0213  0.2965 
   00037    0.0000  -30937.5688  0.2990 
   00038    0.0000  -30965.7636  0.2993 
   00039    0.0000  -31048.8937  0.2983 
   00040    0.0000  -31116.7679  0.2980 
   00041    0.0000  -31182.0102  0.2980 
   00042    0.0000  -31190.2627  0.2967 
   00043    0.0000  -31333.8490  0.2980 
   00044    0.0000  -31348.0474  0.2980 
   00045    0.0000  -31456.4412  0.2980 
   00046    0.0000  -31443.8361  0.3007 
   00047    0.0000  -31594.8408  0.3021 
   00048    0.0000  -31538.7711  0.3045 
   00049    0.0000  -31547.5024  0.3023 
   00050    0.0000  -31597.3660  0.3015 
