#=====================================================
# File created:        Wed-25-Oct-2023-at-01-20-14pm
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        6.143902
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2544.2124  0.2610 
   00001    0.6780   -3773.9288  0.2666 
   00002    0.6108   -4522.2152  0.2684 
   00003    0.5824   -5119.8022  0.2687 
   00004    0.5840   -5571.4924  0.2791 
   00005    0.5320   -5931.0902  0.2802 
   00006    0.5228   -6249.3343  0.2785 
   00007    0.4804   -6432.6201  0.2836 
   00008    0.4904   -6620.9467  0.2858 
   00009    0.4796   -6784.4468  0.2932 
   00010    0.4724   -6927.9042  0.2926 
   00011    0.4600   -7051.4858  0.2999 
   00012    0.4768   -7134.1858  0.2988 
   00013    0.4708   -7182.4192  0.3039 
   00014    0.4508   -7331.3876  0.3044 
   00015    0.4544   -7356.9182  0.3103 
   00016    0.4536   -7432.6730  0.3235 
   00017    0.4484   -7509.3222  0.3241 
   00018    0.4692   -7568.6077  0.3354 
   00019    0.4372   -7592.6681  0.3329 
   00020    0.4304   -7662.3799  0.3344 
   00021    0.4404   -7678.7873  0.3316 
   00022    0.4440   -7731.8469  0.3345 
   00023    0.4468   -7758.7457  0.3347 
   00024    0.4300   -7786.2664  0.3408 
   00025    0.4340   -7801.0516  0.3396 
   00026    0.4268   -7853.2396  0.3380 
   00027    0.4544   -7887.9661  0.3386 
   00028    0.4288   -7916.2516  0.3392 
   00029    0.4364   -7920.4492  0.3391 
   00030    0.4320   -7916.0781  0.3456 
   00031    0.4340   -7939.3628  0.3454 
   00032    0.4288   -7912.3029  0.3439 
   00033    0.4152   -7972.7510  0.3468 
   00034    0.4428   -7974.1963  0.3488 
   00035    0.4320   -7967.2082  0.3487 
   00036    0.4224   -7980.3891  0.3518 
   00037    0.4260   -8033.4912  0.3541 
   00038    0.4264   -7979.3921  0.3512 
   00039    0.4212   -7982.8877  0.3548 
   00040    0.4444   -8026.0140  0.3569 
   00041    0.4496   -8071.7453  0.3610 
   00042    0.4332   -8047.6952  0.3630 
   00043    0.4208   -8063.0406  0.3676 
   00044    0.4160   -8055.1871  0.3710 
   00045    0.4396   -8060.7278  0.3725 
   00046    0.4096   -8092.9938  0.3716 
   00047    0.4260   -8104.7508  0.3726 
   00048    0.4300   -8102.3171  0.3757 
   00049    0.4232   -8132.8103  0.3796 
   00050    0.4260   -8159.9591  0.3765 
