#=====================================================
# File created:        Wed-25-Oct-2023-at-01-28-18PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.668051
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2527.1674  0.2560 
   00001    0.6576   -3696.9152  0.2567 
   00002    0.6188   -4483.5955  0.2628 
   00003    0.5896   -5004.9427  0.2622 
   00004    0.5556   -5429.1085  0.2608 
   00005    0.5448   -5736.9280  0.2596 
   00006    0.5132   -6070.6843  0.2606 
   00007    0.4956   -6272.6759  0.2619 
   00008    0.4968   -6442.7119  0.2632 
   00009    0.4740   -6685.5089  0.2615 
   00010    0.4748   -6827.7308  0.2617 
   00011    0.4876   -6903.4305  0.2620 
   00012    0.4676   -6993.2109  0.2616 
   00013    0.4680   -7078.0004  0.2630 
   00014    0.4828   -7155.2483  0.2612 
   00015    0.4480   -7256.1237  0.2602 
   00016    0.4396   -7327.9852  0.2597 
   00017    0.4440   -7421.3692  0.2581 
   00018    0.4504   -7392.6073  0.2607 
   00019    0.4712   -7521.5473  0.2600 
   00020    0.4540   -7589.8956  0.2584 
   00021    0.4364   -7637.9561  0.2555 
   00022    0.4500   -7655.5412  0.2534 
   00023    0.4532   -7703.3793  0.2543 
   00024    0.4268   -7796.5460  0.2564 
   00025    0.4360   -7817.0367  0.2558 
   00026    0.4236   -7831.4145  0.2548 
   00027    0.4440   -7846.0169  0.2542 
   00028    0.4560   -7841.7624  0.2549 
   00029    0.4272   -7838.7386  0.2565 
   00030    0.4052   -7826.2811  0.2580 
   00031    0.4312   -7829.7274  0.2577 
   00032    0.4624   -7825.1624  0.2619 
   00033    0.4524   -7815.2016  0.2616 
   00034    0.4236   -7891.0843  0.2621 
   00035    0.4256   -7865.3533  0.2633 
   00036    0.4268   -7889.9700  0.2643 
   00037    0.4348   -7903.1700  0.2639 
   00038    0.4356   -7916.6026  0.2654 
   00039    0.4368   -7922.8149  0.2670 
   00040    0.4276   -7958.6478  0.2656 
   00041    0.4320   -7946.8835  0.2666 
   00042    0.4196   -7976.9201  0.2666 
   00043    0.4324   -8011.1452  0.2641 
   00044    0.4368   -8023.4677  0.2665 
   00045    0.4324   -8021.7399  0.2660 
   00046    0.4228   -8060.6147  0.2673 
   00047    0.4188   -8043.9047  0.2684 
   00048    0.4344   -8061.8240  0.2684 
   00049    0.4328   -8034.1992  0.2679 
   00050    0.4200   -8048.8264  0.2677 
