#=====================================================
# MPI Monte Carlo
# Num Procs:           6
# File created:        Wed-18-Oct-2023-at-04-11-47PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.987415
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2432.5925  0.2748 
   00001    0.704000   -2650.0417  0.2808 
   00002    0.614400   -2800.2511  0.2807 
   00003    0.587600   -2903.3278  0.2886 
   00004    0.556800   -2969.4686  0.2923 
   00005    0.520000   -3036.5559  0.2999 
   00006    0.517600   -3089.9994  0.3002 
   00007    0.516000   -3160.2887  0.3054 
   00008    0.482800   -3186.3386  0.3051 
   00009    0.486400   -3203.4443  0.3061 
   00010    0.475600   -3211.2157  0.3059 
   00011    0.482000   -3240.6540  0.3072 
   00012    0.477200   -3271.3133  0.3098 
   00013    0.452000   -3286.7261  0.3112 
   00014    0.458800   -3281.1424  0.3094 
   00015    0.460000   -3288.8736  0.3114 
   00016    0.452000   -3276.1513  0.3120 
   00017    0.434400   -3296.7184  0.3146 
   00018    0.447600   -3305.5392  0.3184 
   00019    0.433200   -3309.6842  0.3213 
   00020    0.448000   -3313.8336  0.3219 
   00021    0.429600   -3324.2344  0.3212 
   00022    0.450800   -3316.2503  0.3256 
   00023    0.450400   -3334.3496  0.3258 
   00024    0.437600   -3325.8403  0.3250 
   00025    0.436400   -3341.9306  0.3285 
   00026    0.435200   -3320.2007  0.3284 
   00027    0.438000   -3313.9402  0.3270 
   00028    0.448000   -3311.9383  0.3272 
   00029    0.445200   -3310.8146  0.3282 
   00030    0.440400   -3308.1362  0.3302 
   00031    0.430000   -3302.3421  0.3295 
   00032    0.443200   -3313.4781  0.3302 
   00033    0.441600   -3309.6367  0.3317 
   00034    0.436000   -3303.1380  0.3362 
   00035    0.450400   -3318.9059  0.3376 
   00036    0.438000   -3340.3679  0.3384 
   00037    0.442400   -3329.7829  0.3370 
   00038    0.432800   -3332.4832  0.3374 
   00039    0.447200   -3323.4958  0.3371 
   00040    0.448800   -3300.7056  0.3373 
   00041    0.447600   -3306.7405  0.3359 
   00042    0.458800   -3306.2248  0.3352 
   00043    0.428800   -3297.6753  0.3358 
   00044    0.454400   -3335.9142  0.3376 
   00045    0.426800   -3331.3134  0.3405 
   00046    0.417200   -3327.6360  0.3418 
   00047    0.434400   -3333.0346  0.3433 
   00048    0.452400   -3348.9347  0.3439 
   00049    0.429200   -3351.0918  0.3435 
   00050    0.436000   -3347.5432  0.3442 
