#=====================================================
# MPI Monte Carlo
# Num Procs:           2
# File created:        Mon-06-Nov-2023-at-08-17-45PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.501580
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2557.6096  0.2515 
   00001    0.702800   -3252.1542  0.2595 
   00002    0.605200   -3746.8253  0.2584 
   00003    0.584400   -4011.3819  0.2623 
   00004    0.559200   -4197.3250  0.2723 
   00005    0.535600   -4331.7619  0.2860 
   00006    0.510400   -4490.3154  0.2934 
   00007    0.482800   -4583.2941  0.2918 
   00008    0.485200   -4648.9642  0.2981 
   00009    0.488000   -4729.2492  0.3000 
   00010    0.470800   -4764.6184  0.2991 
   00011    0.488000   -4838.5817  0.2957 
   00012    0.461200   -4916.7861  0.2969 
   00013    0.456000   -4971.0344  0.3003 
   00014    0.438000   -5029.9300  0.3036 
   00015    0.437600   -5073.8081  0.3076 
   00016    0.447600   -5086.7435  0.3049 
   00017    0.462800   -5093.9946  0.3071 
   00018    0.446400   -5135.1253  0.3080 
   00019    0.454800   -5149.1713  0.3145 
   00020    0.459600   -5119.1259  0.3179 
   00021    0.446000   -5147.0680  0.3182 
   00022    0.432800   -5145.0558  0.3197 
   00023    0.456400   -5161.1656  0.3192 
   00024    0.427600   -5175.6087  0.3201 
   00025    0.442000   -5186.3153  0.3218 
   00026    0.452000   -5204.8045  0.3162 
   00027    0.424400   -5218.9754  0.3129 
   00028    0.450800   -5242.9993  0.3152 
   00029    0.429200   -5273.4002  0.3105 
   00030    0.434000   -5238.6010  0.3139 
   00031    0.426400   -5250.3940  0.3137 
   00032    0.396000   -5248.8868  0.3166 
   00033    0.448000   -5224.9006  0.3212 
   00034    0.442800   -5287.3095  0.3173 
   00035    0.431600   -5313.0298  0.3181 
   00036    0.443600   -5295.9378  0.3141 
   00037    0.428400   -5283.8929  0.3119 
   00038    0.432000   -5311.0056  0.3142 
   00039    0.439200   -5301.6948  0.3131 
   00040    0.427600   -5292.2825  0.3117 
   00041    0.444400   -5308.2104  0.3144 
   00042    0.431200   -5351.7696  0.3130 
   00043    0.438000   -5367.3386  0.3123 
   00044    0.415600   -5365.0654  0.3135 
   00045    0.424800   -5364.2191  0.3184 
   00046    0.425600   -5371.4983  0.3215 
   00047    0.420800   -5353.5500  0.3281 
   00048    0.414400   -5348.7700  0.3285 
   00049    0.416800   -5352.7457  0.3282 
   00050    0.425600   -5356.8801  0.3250 
