#=====================================================
# MPI Monte Carlo
# Num Procs:           3
# File created:        Tue-07-Nov-2023-at-10-20-59AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.800592
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.695600   -2980.7839  0.2697 
   00002    0.631600   -3190.2256  0.2733 
   00003    0.598400   -3408.9893  0.2749 
   00004    0.552400   -3546.3072  0.2800 
   00005    0.528000   -3673.4049  0.2863 
   00006    0.514000   -3776.6683  0.2875 
   00007    0.508800   -3893.3117  0.2928 
   00008    0.489600   -3936.8660  0.2916 
   00009    0.490400   -4006.6610  0.2983 
   00010    0.474800   -4078.6708  0.3032 
   00011    0.446800   -4116.5521  0.3021 
   00012    0.451600   -4133.7139  0.3037 
   00013    0.460000   -4148.8140  0.3125 
   00014    0.470400   -4180.2654  0.3112 
   00015    0.439200   -4192.5716  0.3172 
   00016    0.448000   -4200.9299  0.3197 
   00017    0.450800   -4182.8387  0.3201 
   00018    0.456800   -4202.8424  0.3174 
   00019    0.446400   -4196.3442  0.3191 
   00020    0.457600   -4207.2570  0.3185 
   00021    0.444000   -4247.0221  0.3191 
   00022    0.441600   -4262.9554  0.3191 
   00023    0.438000   -4248.2417  0.3215 
   00024    0.449600   -4242.6772  0.3214 
   00025    0.444000   -4283.3964  0.3193 
   00026    0.434400   -4276.9222  0.3258 
   00027    0.413200   -4317.1117  0.3226 
   00028    0.458400   -4320.3122  0.3266 
   00029    0.421200   -4298.3923  0.3247 
   00030    0.437600   -4296.9098  0.3259 
   00031    0.420000   -4312.6083  0.3267 
   00032    0.423600   -4314.7649  0.3300 
   00033    0.432400   -4319.6654  0.3308 
   00034    0.435600   -4325.3058  0.3303 
   00035    0.444400   -4329.7692  0.3290 
   00036    0.417600   -4350.9255  0.3295 
   00037    0.446000   -4324.2478  0.3293 
   00038    0.433200   -4317.2888  0.3308 
   00039    0.440000   -4313.6159  0.3323 
   00040    0.424000   -4320.6389  0.3277 
   00041    0.422000   -4303.9707  0.3274 
   00042    0.428400   -4333.4618  0.3337 
   00043    0.425200   -4325.5122  0.3331 
   00044    0.430400   -4332.2311  0.3372 
   00045    0.435600   -4354.8637  0.3398 
   00046    0.440000   -4351.7956  0.3389 
   00047    0.422000   -4354.8903  0.3381 
   00048    0.428000   -4351.4933  0.3369 
   00049    0.417200   -4335.9895  0.3400 
   00050    0.421200   -4345.2403  0.3382 
