#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Wed-18-Oct-2023-at-04-23-05PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.620586
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2564.0273  0.2739 
   00001    0.702000   -2840.2514  0.2736 
   00002    0.630000   -3074.1212  0.2727 
   00003    0.590800   -3212.6914  0.2751 
   00004    0.564800   -3298.2369  0.2737 
   00005    0.525200   -3412.3265  0.2761 
   00006    0.532800   -3523.3560  0.2748 
   00007    0.511200   -3556.9357  0.2746 
   00008    0.480400   -3604.1684  0.2793 
   00009    0.498800   -3636.2059  0.2768 
   00010    0.484800   -3669.3742  0.2750 
   00011    0.480800   -3679.9601  0.2764 
   00012    0.476400   -3761.1159  0.2772 
   00013    0.470800   -3774.4324  0.2777 
   00014    0.468800   -3776.6463  0.2791 
   00015    0.454400   -3778.2578  0.2835 
   00016    0.468800   -3776.5734  0.2896 
   00017    0.452800   -3756.4623  0.2907 
   00018    0.435600   -3799.9844  0.2911 
   00019    0.437200   -3820.1537  0.2908 
   00020    0.452800   -3837.1961  0.2913 
   00021    0.441200   -3848.8467  0.2884 
   00022    0.462000   -3840.2422  0.2905 
   00023    0.434800   -3838.2695  0.2898 
   00024    0.420400   -3852.3656  0.2893 
   00025    0.446000   -3858.7768  0.2953 
   00026    0.436400   -3873.5508  0.2995 
   00027    0.445600   -3866.8846  0.2965 
   00028    0.442800   -3874.1859  0.2954 
   00029    0.435200   -3887.2477  0.2929 
   00030    0.430400   -3889.5362  0.2904 
   00031    0.439600   -3857.8634  0.2893 
   00032    0.440400   -3853.1940  0.2901 
   00033    0.440400   -3853.4083  0.2920 
   00034    0.432800   -3868.3100  0.2915 
   00035    0.465600   -3897.7255  0.2945 
   00036    0.435600   -3890.9409  0.2968 
   00037    0.428400   -3869.4098  0.2980 
   00038    0.431200   -3879.0657  0.2983 
   00039    0.438400   -3882.9485  0.2946 
   00040    0.426800   -3859.1578  0.2938 
   00041    0.424800   -3850.9396  0.2886 
   00042    0.444000   -3855.4208  0.2925 
   00043    0.439600   -3864.7000  0.2923 
   00044    0.439200   -3874.6638  0.2938 
   00045    0.429200   -3873.7402  0.2910 
   00046    0.426000   -3870.1724  0.2898 
   00047    0.440000   -3862.4176  0.2864 
   00048    0.429600   -3857.9467  0.2870 
   00049    0.418400   -3847.2448  0.2875 
   00050    0.426000   -3868.2922  0.2871 
