#=====================================================
# MPI Monte Carlo
# Num Procs:           5
# File created:        Tue-07-Nov-2023-at-04-55-31PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.205688
#=====================================================
# MPI MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.500000   -2566.2733  0.2711 
   00001    0.705200   -2808.5244  0.2706 
   00002    0.610000   -2958.1587  0.2713 
   00003    0.597200   -3044.0274  0.2684 
   00004    0.563600   -3123.3938  0.2767 
   00005    0.534800   -3206.1084  0.2762 
   00006    0.508800   -3209.1106  0.2759 
   00007    0.504000   -3245.1289  0.2762 
   00008    0.509600   -3282.0848  0.2785 
   00009    0.480000   -3312.0686  0.2786 
   00010    0.480400   -3330.7393  0.2797 
   00011    0.501200   -3352.0781  0.2768 
   00012    0.482800   -3378.1726  0.2750 
   00013    0.481600   -3364.8817  0.2748 
   00014    0.488800   -3389.6448  0.2758 
   00015    0.439600   -3418.7844  0.2767 
   00016    0.459600   -3396.5832  0.2728 
   00017    0.449200   -3418.5340  0.2756 
   00018    0.433600   -3421.7482  0.2684 
   00019    0.447200   -3434.1328  0.2704 
   00020    0.452800   -3441.5563  0.2666 
   00021    0.430400   -3454.3939  0.2699 
   00022    0.436000   -3448.7337  0.2691 
   00023    0.463600   -3443.0482  0.2693 
   00024    0.442000   -3444.6113  0.2670 
   00025    0.444800   -3449.0875  0.2683 
   00026    0.449600   -3477.6361  0.2612 
   00027    0.446400   -3474.9667  0.2576 
   00028    0.441600   -3489.5610  0.2590 
   00029    0.446800   -3486.9628  0.2610 
   00030    0.442000   -3486.1336  0.2635 
   00031    0.427600   -3512.0950  0.2642 
   00032    0.436800   -3500.7063  0.2624 
   00033    0.434400   -3507.9430  0.2619 
   00034    0.444800   -3543.5702  0.2629 
   00035    0.422400   -3538.7397  0.2633 
   00036    0.442000   -3532.6643  0.2628 
   00037    0.444400   -3553.7420  0.2663 
   00038    0.442000   -3564.3368  0.2650 
   00039    0.418800   -3542.4704  0.2708 
   00040    0.414000   -3557.7158  0.2717 
   00041    0.434800   -3553.5057  0.2720 
   00042    0.427600   -3547.9756  0.2713 
   00043    0.418400   -3551.4107  0.2718 
   00044    0.436800   -3559.2089  0.2705 
   00045    0.448000   -3548.0473  0.2690 
   00046    0.427200   -3554.9724  0.2721 
   00047    0.417600   -3579.3314  0.2749 
   00048    0.452000   -3574.8622  0.2747 
   00049    0.438000   -3571.2716  0.2749 
   00050    0.418000   -3588.1681  0.2753 
