LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.355, Time: 3.350817 s
         932968 function calls (918580 primitive calls) in 5.861 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    325/1    0.004    0.000    5.864    5.864 {built-in method builtins.exec}
        1    0.000    0.000    5.864    5.864 LebwohlLasher.py:1(<module>)
        1    3.364    3.364    3.381    3.381 LebwohlLasher.py:258(main)
       26    0.002    0.000    2.583    0.099 __init__.py:1(<module>)
    349/4    0.004    0.000    2.483    0.621 <frozen importlib._bootstrap>:986(_find_and_load)
    346/4    0.003    0.000    2.483    0.621 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    328/5    0.003    0.000    2.480    0.496 <frozen importlib._bootstrap>:650(_load_unlocked)
    278/4    0.002    0.000    2.480    0.620 <frozen importlib._bootstrap_external>:842(exec_module)
    490/6    0.001    0.000    2.479    0.413 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   434/15    0.001    0.000    2.302    0.153 {built-in method builtins.__import__}
   463/57    0.004    0.000    2.155    0.038 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    1.950    1.950 pyplot.py:4(<module>)
1110/1004    0.016    0.000    1.661    0.002 {built-in method builtins.__build_class__}
      100    0.002    0.000    1.359    0.014 artist.py:159(_update_set_signature_and_docstring)
       99    0.001    0.000    1.335    0.013 artist.py:126(__init_subclass__)
      112    0.001    0.000    1.079    0.010 artist.py:1841(kwdoc)
        1    0.000    0.000    1.000    1.000 figure.py:1(<module>)
      112    0.018    0.000    0.911    0.008 artist.py:1602(pprint_setters)
        1    0.000    0.000    0.781    0.781 colorbar.py:1(<module>)
     4050    0.047    0.000    0.754    0.000 artist.py:1474(get_valid_values)
     6793    0.345    0.000    0.668    0.000 inspect.py:625(cleandoc)
     6764    0.026    0.000    0.602    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.430    0.430 contour.py:1(<module>)
        1    0.000    0.000    0.413    0.413 backend_bases.py:1(<module>)
      213    0.002    0.000    0.380    0.002 artist.py:1426(__init__)
      213    0.042    0.000    0.376    0.002 artist.py:1446(get_aliases)
        1    0.000    0.000    0.366    0.366 text.py:1(<module>)
        1    0.000    0.000    0.316    0.316 collections.py:1(<module>)
        1    0.000    0.000    0.270    0.270 _axes.py:1(<module>)
        1    0.000    0.000    0.265    0.265 patches.py:1(<module>)
        1    0.000    0.000    0.242    0.242 _base.py:1(<module>)
        1    0.000    0.000    0.240    0.240 axes3d.py:1(<module>)
     7092    0.021    0.000    0.235    0.000 re.py:289(_compile)
        9    0.000    0.000    0.215    0.024 _base.py:734(__init_subclass__)
      213    0.080    0.000    0.210    0.001 artist.py:1521(get_setters)
      206    0.003    0.000    0.201    0.001 sre_compile.py:759(compile)
      213    0.092    0.000    0.184    0.001 artist.py:1457(<listcomp>)
     5304    0.019    0.000    0.177    0.000 re.py:198(search)
      132    0.001    0.000    0.171    0.001 _docstring.py:38(__call__)
  122/111    0.001    0.000    0.167    0.002 _docstring.py:79(__call__)
138349/137235    0.158    0.000    0.160    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.157    0.157 rcsetup.py:1(<module>)
       30    0.015    0.001    0.133    0.004 __init__.py:835(_rc_params_in_file)
       12    0.000    0.000    0.129    0.011 _docstring.py:51(__missing__)
      206    0.002    0.000    0.124    0.001 sre_parse.py:937(parse)
  450/206    0.004    0.000    0.119    0.001 sre_parse.py:435(_parse_sub)
        2    0.000    0.000    0.118    0.059 core.py:1(<module>)
        1    0.000    0.000    0.117    0.117 _fontconfig_pattern.py:1(<module>)
