         1023345 function calls (1009209 primitive calls) in 3.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    326/1    0.004    0.000    3.814    3.814 {built-in method builtins.exec}
        1    0.000    0.000    3.814    3.814 LebwohlLasher.py:1(<module>)
       26    0.002    0.000    3.289    0.126 __init__.py:1(<module>)
    350/5    0.004    0.000    3.183    0.637 <frozen importlib._bootstrap>:986(_find_and_load)
    347/5    0.003    0.000    3.183    0.637 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    329/6    0.003    0.000    3.180    0.530 <frozen importlib._bootstrap>:650(_load_unlocked)
    492/6    0.001    0.000    3.179    0.530 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   436/17    0.001    0.000    2.986    0.176 {built-in method builtins.__import__}
    279/6    0.002    0.000    2.936    0.489 <frozen importlib._bootstrap_external>:842(exec_module)
   465/58    0.005    0.000    2.820    0.049 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    2.247    2.247 pyplot.py:4(<module>)
1111/1005    0.016    0.000    1.922    0.002 {built-in method builtins.__build_class__}
      100    0.002    0.000    1.571    0.016 artist.py:159(_update_set_signature_and_docstring)
       99    0.001    0.000    1.543    0.016 artist.py:126(__init_subclass__)
      112    0.001    0.000    1.249    0.011 artist.py:1841(kwdoc)
        1    0.000    0.000    1.187    1.187 figure.py:1(<module>)
      112    0.018    0.000    1.053    0.009 artist.py:1602(pprint_setters)
     4050    0.051    0.000    0.872    0.000 artist.py:1474(get_valid_values)
        1    0.000    0.000    0.865    0.865 colorbar.py:1(<module>)
     6793    0.407    0.000    0.798    0.000 inspect.py:625(cleandoc)
     6764    0.029    0.000    0.712    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.631    0.631 LebwohlLasher.py:310(main)
       50    0.159    0.003    0.631    0.013 LebwohlLasher.py:260(MC_parallel_step)
        1    0.000    0.000    0.475    0.475 contour.py:1(<module>)
        1    0.000    0.000    0.456    0.456 backend_bases.py:1(<module>)
      213    0.002    0.000    0.441    0.002 artist.py:1426(__init__)
      213    0.045    0.000    0.438    0.002 artist.py:1446(get_aliases)
        1    0.000    0.000    0.408    0.408 text.py:1(<module>)
        1    0.000    0.000    0.356    0.356 collections.py:1(<module>)
    50000    0.352    0.000    0.352    0.000 LebwohlLasher.py:134(one_energy)
        1    0.000    0.000    0.327    0.327 _axes.py:1(<module>)
        1    0.000    0.000    0.299    0.299 _base.py:1(<module>)
        1    0.000    0.000    0.294    0.294 patches.py:1(<module>)
        1    0.000    0.000    0.276    0.276 axes3d.py:1(<module>)
    29/24    0.000    0.000    0.267    0.011 <frozen importlib._bootstrap_external>:1172(exec_module)
    29/24    0.243    0.008    0.266    0.011 {built-in method _imp.exec_dynamic}
     7092    0.023    0.000    0.263    0.000 re.py:289(_compile)
        9    0.000    0.000    0.253    0.028 _base.py:734(__init_subclass__)
      213    0.092    0.000    0.244    0.001 artist.py:1521(get_setters)
      206    0.003    0.000    0.225    0.001 sre_compile.py:759(compile)
      213    0.110    0.001    0.220    0.001 artist.py:1457(<listcomp>)
      132    0.001    0.000    0.203    0.002 _docstring.py:38(__call__)
138302/137188    0.195    0.000    0.198    0.000 {built-in method builtins.len}
  122/111    0.001    0.000    0.198    0.002 _docstring.py:79(__call__)
     5304    0.022    0.000    0.196    0.000 re.py:198(search)
        1    0.000    0.000    0.176    0.176 rcsetup.py:1(<module>)
       12    0.000    0.000    0.151    0.013 _docstring.py:51(__missing__)
       30    0.018    0.001    0.146    0.005 __init__.py:835(_rc_params_in_file)
        1    0.000    0.000    0.143    0.143 _axes.py:46(Axes)
      206    0.002    0.000    0.139    0.001 sre_parse.py:937(parse)
        2    0.000    0.000    0.135    0.068 core.py:1(<module>)
        1    0.000    0.000    0.135    0.135 art3d.py:5(<module>)
  450/206    0.004    0.000    0.134    0.001 sre_parse.py:435(_parse_sub)
        1    0.000    0.000    0.133    0.133 _fontconfig_pattern.py:1(<module>)
  484/209    0.033    0.000    0.131    0.001 sre_parse.py:493(_parse)
    63098    0.129    0.000    0.130    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.129    0.129 __init__.py:25(<module>)
      341    0.005    0.000    0.128    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    86970    0.123    0.000    0.123    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.120    0.120 geo.py:1(<module>)
        1    0.000    0.000    0.116    0.116 multiarray.py:1(<module>)
      657    0.002    0.000    0.114    0.000 inspect.py:3103(signature)
      657    0.002    0.000    0.112    0.000 inspect.py:2851(from_callable)
        1    0.000    0.000    0.111    0.111 overrides.py:1(<module>)
      321    0.001    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
  322/321    0.013    0.000    0.110    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
  721/657    0.009    0.000    0.110    0.000 inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    0.108    0.108 offsetbox.py:1(<module>)
    73970    0.105    0.000    0.105    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.094    0.094 axis.py:1(<module>)
        2    0.000    0.000    0.093    0.046 core.py:235(read_style_directory)
      565    0.038    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
    53362    0.078    0.000    0.091    0.000 {built-in method builtins.isinstance}
      279    0.005    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:914(get_code)
