         1023135 function calls (1008999 primitive calls) in 3.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6793    0.411    0.000    0.806    0.000 inspect.py:625(cleandoc)
    50000    0.361    0.000    0.361    0.000 LebwohlLasher.py:134(one_energy)
    29/24    0.254    0.009    0.276    0.011 {built-in method _imp.exec_dynamic}
138302/137188    0.197    0.000    0.200    0.000 {built-in method builtins.len}
       50    0.161    0.003    0.690    0.014 LebwohlLasher.py:260(MC_parallel_step)
    86970    0.124    0.000    0.124    0.000 {method 'startswith' of 'str' objects}
      213    0.111    0.001    0.221    0.001 artist.py:1457(<listcomp>)
    73970    0.106    0.000    0.106    0.000 {method 'lstrip' of 'str' objects}
      213    0.093    0.000    0.248    0.001 artist.py:1521(get_setters)
    63098    0.091    0.000    0.091    0.000 {built-in method builtins.getattr}
    53362    0.090    0.000    0.104    0.000 {built-in method builtins.isinstance}
    52353    0.076    0.000    0.076    0.000 {built-in method builtins.min}
       50    0.065    0.001    0.065    0.001 {method 'reduce' of 'mpi4py.MPI.Comm' objects}
    18762    0.059    0.000    0.059    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      279    0.055    0.000    0.055    0.000 {built-in method marshal.loads}
     4050    0.051    0.000    0.885    0.000 artist.py:1474(get_valid_values)
      213    0.045    0.000    0.444    0.002 artist.py:1446(get_aliases)
    25000    0.045    0.000    0.045    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
    31173    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
    29006    0.041    0.000    0.041    0.000 {built-in method builtins.callable}
     6341    0.037    0.000    0.085    0.000 inspect.py:2489(__init__)
  484/209    0.033    0.000    0.131    0.001 sre_parse.py:493(_parse)
15287/15274    0.031    0.000    0.043    0.000 {method 'join' of 'str' objects}
     6764    0.029    0.000    0.720    0.000 inspect.py:606(getdoc)
     9273    0.027    0.000    0.027    0.000 {method 'search' of 're.Pattern' objects}
     7092    0.023    0.000    0.264    0.000 re.py:289(_compile)
     4050    0.023    0.000    0.054    0.000 artist.py:1559(aliased_name)
 1080/206    0.023    0.000    0.063    0.000 sre_compile.py:71(_compile)
     5304    0.023    0.000    0.201    0.000 re.py:198(search)
      908    0.022    0.000    0.049    0.000 inspect.py:2772(__init__)
     6786    0.022    0.000    0.038    0.000 enum.py:313(__call__)
     7495    0.022    0.000    0.033    0.000 sre_parse.py:164(__getitem__)
       29    0.020    0.001    0.020    0.001 {built-in method _imp.create_dynamic}
      427    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
      112    0.018    0.000    1.068    0.010 artist.py:1602(pprint_setters)
       30    0.018    0.001    0.149    0.005 __init__.py:835(_rc_params_in_file)
      637    0.017    0.000    0.079    0.000 inspect.py:2124(_signature_from_function)
      755    0.016    0.000    0.033    0.000 functools.py:34(update_wrapper)
1111/1005    0.016    0.000    1.942    0.002 {built-in method builtins.__build_class__}
     2654    0.016    0.000    0.028    0.000 __init__.py:421(_strip_comment)
    10587    0.015    0.000    0.016    0.000 {method 'get' of 'dict' objects}
     8261    0.015    0.000    0.015    0.000 {method 'split' of 'str' objects}
     4982    0.014    0.000    0.021    0.000 sre_parse.py:254(get)
     3028    0.014    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     8744    0.013    0.000    0.013    0.000 {built-in method builtins.hasattr}
     3028    0.013    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     8903    0.013    0.000    0.013    0.000 {method 'pop' of 'list' objects}
     8848    0.013    0.000    0.013    0.000 {method 'rstrip' of 'str' objects}
      565    0.012    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     8397    0.012    0.000    0.012    0.000 inspect.py:2539(name)
     6804    0.011    0.000    0.011    0.000 {method 'expandtabs' of 'str' objects}
     6991    0.010    0.000    0.010    0.000 inspect.py:2551(kind)
     6781    0.010    0.000    0.010    0.000 enum.py:631(__new__)
     6778    0.010    0.000    0.010    0.000 {method 'isidentifier' of 'str' objects}
 3344/795    0.010    0.000    0.011    0.000 __init__.py:362(recursive_subclasses)
      618    0.009    0.000    0.032    0.000 _inspect.py:96(getargspec)
     6267    0.009    0.000    0.009    0.000 {method 'format' of 'str' objects}
  721/657    0.009    0.000    0.111    0.000 inspect.py:2218(_signature_from_callable)
     5978    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
     5734    0.009    0.000    0.009    0.000 {method 'strip' of 'str' objects}
     2714    0.008    0.000    0.012    0.000 util.py:185(is_consecutive)
     5312    0.008    0.000    0.008    0.000 {method 'find' of 'str' objects}
     3077    0.008    0.000    0.011    0.000 inspect.py:2821(<genexpr>)
     5467    0.008    0.000    0.008    0.000 {method 'group' of 're.Match' objects}
     2338    0.007    0.000    0.007    0.000 {built-in method builtins.chr}
     5138    0.007    0.000    0.007    0.000 {built-in method builtins.ord}
        6    0.007    0.001    0.007    0.001 _exceptions.py:17(_display_as_base)
     2515    0.007    0.000    0.011    0.000 sre_parse.py:172(append)
     2500    0.007    0.000    0.011    0.000 sre_parse.py:160(__len__)
 1291/421    0.007    0.000    0.011    0.000 sre_parse.py:174(getwidth)
      317    0.007    0.000    0.016    0.000 function_base.py:483(add_newdoc)
     4223    0.007    0.000    0.007    0.000 {built-in method builtins.sorted}
     4401    0.006    0.000    0.007    0.000 {built-in method builtins.setattr}
     4531    0.006    0.000    0.006    0.000 artist.py:1567(<genexpr>)
       28    0.006    0.000    0.020    0.001 util.py:182(_collapse_string_to_ranges)
1855/1689    0.006    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     1324    0.006    0.000    0.017    0.000 re.py:188(match)
     1337    0.006    0.000    0.006    0.000 {built-in method posix.stat}
      279    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      100    0.006    0.000    0.052    0.001 artist.py:170(<listcomp>)
      409    0.005    0.000    0.016    0.000 copy.py:66(copy)
      558    0.005    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      328    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      341    0.005    0.000    0.095    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     2433    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x909780}
     1681    0.005    0.000    0.007    0.000 inspect.py:158(isfunction)
     3238    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
   465/58    0.005    0.000    2.818    0.049 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      720    0.005    0.000    0.010    0.000 inspect.py:493(unwrap)
      969    0.005    0.000    0.085    0.000 __init__.py:699(__setitem__)
      279    0.005    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:914(get_code)
  450/206    0.004    0.000    0.134    0.001 sre_parse.py:435(_parse_sub)
     1550    0.004    0.000    0.007    0.000 sre_parse.py:286(tell)
 1435/169    0.004    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
  322/321    0.004    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      733    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
 1435/169    0.004    0.000    0.009    0.000 abc.py:100(__subclasscheck__)
      279    0.004    0.000    0.004    0.000 {built-in method io.open_code}
     2239    0.004    0.000    0.005    0.000 sre_parse.py:249(match)
    350/5    0.004    0.000    3.183    0.637 <frozen importlib._bootstrap>:986(_find_and_load)
     1326    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      279    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     1038    0.004    0.000    0.006    0.000 typing.py:646(_is_dunder)
      206    0.004    0.000    0.015    0.000 sre_compile.py:536(_compile_info)
    326/1    0.004    0.000    3.873    3.873 {built-in method builtins.exec}
      850    0.004    0.000    0.014    0.000 colors.py:213(_is_nth_color)
      929    0.004    0.000    0.078    0.000 artist.py:1546(is_alias)
      169    0.004    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
       92    0.004    0.000    0.087    0.001 __init__.py:1372(_preprocess_data)
      837    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1186    0.004    0.000    0.014    0.000 abc.py:96(__instancecheck__)
      409    0.003    0.000    0.032    0.000 rcsetup.py:307(validate_color)
        1    0.003    0.003    0.007    0.007 helpers.py:692(<dictcomp>)
      462    0.003    0.000    0.013    0.000 font_manager.py:923(_json_decode)
    329/6    0.003    0.000    3.180    0.530 <frozen importlib._bootstrap>:650(_load_unlocked)
     2206    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
   256/18    0.003    0.000    0.010    0.001 ast.py:373(generic_visit)
     1038    0.003    0.000    0.009    0.000 typing.py:762(__setattr__)
     2216    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
    347/5    0.003    0.000    3.182    0.636 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      409    0.003    0.000    0.007    0.000 copy.py:258(_reconstruct)
      647    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      284    0.003    0.000    0.037    0.000 overrides.py:88(verify_matching_signatures)
      344    0.003    0.000    0.012    0.000 inspect.py:544(_finddoc)
       39    0.003    0.000    0.008    0.000 __init__.py:313(namedtuple)
     2069    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
     2069    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
      169    0.003    0.000    0.009    0.000 colors.py:307(_to_rgba_no_colorcycle)
      631    0.003    0.000    0.007    0.000 {built-in method builtins.max}
      206    0.003    0.000    0.225    0.001 sre_compile.py:759(compile)
      985    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:863(__enter__)
      141    0.003    0.000    0.015    0.000 typing.py:659(__init__)
      985    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:867(__exit__)
      279    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     1866    0.003    0.000    0.003    0.000 __init__.py:835(<lambda>)
      733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      733    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
     1802    0.003    0.000    0.003    0.000 {method 'setdefault' of 'dict' objects}
      597    0.003    0.000    0.009    0.000 sre_compile.py:423(_simple)
      429    0.003    0.000    0.055    0.000 artist.py:1540(number_of_parameters)
      460    0.002    0.000    0.006    0.000 posixpath.py:60(isabs)
      314    0.002    0.000    0.056    0.000 overrides.py:170(decorator)
      160    0.002    0.000    0.006    0.000 shape_base.py:612(column_stack)
