LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.295, Time: 7.297101 s
         1405681 function calls (1391293 primitive calls) in 10.618 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   377500    4.477    0.000    4.477    0.000 LebwohlLasher.py:131(one_energy)
       51    1.228    0.024    1.249    0.024 LebwohlLasher.py:182(get_order)
       50    0.962    0.019    4.473    0.089 LebwohlLasher.py:210(MC_step)
    94726    0.435    0.000    0.435    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     6793    0.431    0.000    0.831    0.000 inspect.py:625(cleandoc)
       51    0.223    0.004    1.636    0.032 LebwohlLasher.py:165(all_energy)
138349/137235    0.190    0.000    0.194    0.000 {built-in method builtins.len}
    86965    0.125    0.000    0.125    0.000 {method 'startswith' of 'str' objects}
      213    0.114    0.001    0.228    0.001 artist.py:1457(<listcomp>)
    73970    0.104    0.000    0.104    0.000 {method 'lstrip' of 'str' objects}
      213    0.101    0.000    0.266    0.001 artist.py:1521(get_setters)
    63237    0.101    0.000    0.101    0.000 {built-in method builtins.getattr}
    53401    0.082    0.000    0.099    0.000 {built-in method builtins.isinstance}
    52353    0.080    0.000    0.080    0.000 {built-in method builtins.min}
     4050    0.061    0.000    0.956    0.000 artist.py:1474(get_valid_values)
      213    0.056    0.000    0.480    0.002 artist.py:1446(get_aliases)
      278    0.050    0.000    0.050    0.000 {built-in method marshal.loads}
    31326    0.045    0.000    0.045    0.000 {method 'append' of 'list' objects}
     6341    0.043    0.000    0.093    0.000 inspect.py:2489(__init__)
  484/209    0.042    0.000    0.152    0.001 sre_parse.py:493(_parse)
    29006    0.040    0.000    0.040    0.000 {built-in method builtins.callable}
     9273    0.038    0.000    0.038    0.000 {method 'search' of 're.Pattern' objects}
15257/15244    0.036    0.000    0.050    0.000 {method 'join' of 'str' objects}
     6764    0.034    0.000    0.753    0.000 inspect.py:606(getdoc)
   256/18    0.031    0.000    0.038    0.002 ast.py:373(generic_visit)
     7092    0.028    0.000    0.309    0.000 re.py:289(_compile)
      908    0.028    0.000    0.055    0.000 inspect.py:2772(__init__)
 1080/206    0.027    0.000    0.072    0.000 sre_compile.py:71(_compile)
     4050    0.027    0.000    0.061    0.000 artist.py:1559(aliased_name)
      427    0.025    0.000    0.025    0.000 {built-in method builtins.dir}
     5304    0.025    0.000    0.230    0.000 re.py:198(search)
1110/1004    0.024    0.000    2.125    0.002 {built-in method builtins.__build_class__}
     7495    0.024    0.000    0.036    0.000 sre_parse.py:164(__getitem__)
     6786    0.024    0.000    0.042    0.000 enum.py:313(__call__)
      112    0.023    0.000    1.157    0.010 artist.py:1602(pprint_setters)
      637    0.022    0.000    0.090    0.000 inspect.py:2124(_signature_from_function)
       30    0.021    0.001    0.193    0.006 __init__.py:835(_rc_params_in_file)
       28    0.020    0.001    0.020    0.001 {built-in method _imp.create_dynamic}
     8261    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
      755    0.018    0.000    0.036    0.000 functools.py:34(update_wrapper)
