Running tests
Before activation python =  /mnt/storage/software/languages/miniconda/miniconda3.11.3-CompressAI-Vision0.1.3/bin/python
After activation python = /user/home/ib20120/.conda/envs/LL_env/bin/python
Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
2 rank
3 rank
1 rank
0 rank
MPI_Vec_LL.py: Size: 200, Steps: 50, T*: 0.500: Order: 0.254, Time: 36.524749 s
MPI_Vec_Jit_LL.py: Size: 200, Steps: 50, T*: 0.500: Order: 0.268, Time: 4.018558 s
#=====================================================
# MPI Monte Carlo
# Num Procs:           4
# File created:        Tue-07-Nov-2023-at-06-06-38PM
# Size of lattice:     200x200
# Number of MC steps:  50
# Reduced temperature: 0.500
#=====================================================
# Run time (s):        4.018558
   00000    0.500000  -40246.2489  0.2515 
   00001    0.702775  -45985.2131  0.2531 
   00002    0.685200  -51086.0393  0.2552 
   00003    0.670475  -55377.2519  0.2577 
   00004    0.652325  -59607.7030  0.2578 
   00005    0.636825  -63303.5413  0.2578 
   00006    0.625250  -66671.2414  0.2593 
   00007    0.618950  -69715.5584  0.2590 
   00008    0.606525  -72343.4275  0.2608 
   00009    0.594400  -74681.2171  0.2616 
   00010    0.587175  -77109.9247  0.2606 
   00011    0.575625  -79323.0457  0.2605 
   00012    0.573100  -81455.6529  0.2601 
   00013    0.566075  -83446.1999  0.2604 
   00014    0.559425  -85190.1097  0.2607 
   00015    0.556750  -86834.9279  0.2619 
   00016    0.551400  -88424.4080  0.2620 
   00017    0.543150  -89884.9422  0.2616 
   00018    0.539800  -91294.6591  0.2620 
   00019    0.538400  -92627.0529  0.2635 
   00020    0.529275  -94125.6393  0.2638 
   00021    0.528200  -95319.1991  0.2641 
   00022    0.521125  -96403.5007  0.2635 
   00023    0.516200  -97473.4933  0.2631 
   00024    0.518475  -98470.9496  0.2628 
   00025    0.511450  -99575.9808  0.2629 
   00026    0.510100 -100436.8944  0.2646 
   00027    0.509300 -101472.6577  0.2661 
   00028    0.505650 -102307.9796  0.2661 
   00029    0.505925 -103102.5295  0.2667 
   00030    0.500350 -103779.5213  0.2665 
   00031    0.492875 -104531.9652  0.2659 
   00032    0.496850 -105177.0660  0.2654 
   00033    0.489650 -105924.9641  0.2662 
   00034    0.488175 -106638.2714  0.2667 
   00035    0.491775 -107240.0403  0.2663 
   00036    0.486700 -107856.5648  0.2651 
   00037    0.480300 -108407.0703  0.2646 
   00038    0.490175 -108829.9139  0.2655 
   00039    0.483225 -109427.7122  0.2658 
   00040    0.487425 -109921.4203  0.2660 
   00041    0.478850 -110391.2178  0.2662 
   00042    0.477175 -110855.1036  0.2660 
   00043    0.479100 -111297.5284  0.2661 
   00044    0.475075 -111812.1376  0.2672 
   00045    0.473450 -112291.2199  0.2683 
   00046    0.475775 -112706.6830  0.2684 
   00047    0.473675 -113208.2948  0.2677 
   00048    0.473500 -113586.3042  0.2682 
   00049    0.468150 -114135.0257  0.2680 
   00050    0.468825 -114546.7562  0.2678 
